business name,filename,date,user,business_id,filetype
abcd,Central Parts - Perth_20190729_1.csv,29/07/2019,Chris,976,electronic
abcd,Challenger Motor Group_20190314_1.csv,14/03/2019,Chris,1023,electronic
abcd,Chittaway Auto Dismantlers_20190704_1.csv,04/07/2019,Dylan,1227,electronic
abcd,Christies Beach Auto Wreckers_20190520_1.csv,20/05/2019,Chris,205,electronic
abcd,City Central Wrecking_20190107_1.csv,07/01/2019,Chris,1522,electronic
abcd,City Dismantlers_20190517_1.csv,17/05/2019,Chris,209,electronic
abcd,Cockburn Auto Wreckers_20190624_1.csv,24/06/2019,Chris,991,manual
abcd,Complete Auto Dismantlers_20190114_1.csv,14/01/2019,Chris,213,electronic
abcd,Cooroy Auto Wreckers_20190305_1.csv,05/03/2019,Scott,154,electronic
abcd,Cooroy Auto Wreckers_20190308_2.csv,08/03/2019,Scott,154,electronic
abcd,Costless Auto Parts_20190613_1.csv,13/06/2019,Chris,1111,electronic
abcd,Currumbin Wreckers_20190418_1.csv,18/04/2019,Scott,1238,electronic
abcd,D and W Wreckers_20181211_1.csv,11/12/2018,Scott,574,electronic
abcd,Daihatsu Auto Recyclers_20190218_1.csv,18/02/2019,Scott,1239,electronic
abcd,Daihatsu Auto Recyclers_20190227_2.csv,27/02/2019,Scott,1239,electronic
abcd,Daihatsu Auto Recyclers_20190711_3.csv,11/07/2019,Scott,1239,electronic
abcd,Danny Scrap Metal_20190725_1.csv,25/07/2019,Scott,1611,electronic
abcd,DAPTO PICK-A-PART_20190510_1.csv,10/05/2019,Dylan,19,electronic
abcd,Deer Park Wreckers_20190424_1.csv,24/04/2019,Scott,1242,electronic
abcd,Deer Park Wreckers_20190704_2.csv,04/07/2019,Scott,1242,electronic
abcd,Enfield Spares_20190114_1.csv,14/01/2019,Dylan,452,electronic
abcd,EWT Auto Dismantlers_20190412_1.csv,12/04/2019,Dylan,26,electronic
abcd,Express Auto Wreckers_20190426_1.csv,26/04/2019,Scott,1515,electronic
abcd,Express Auto Wreckers_20190503_2.csv,03/05/2019,Scott,1515,electronic
abcd,Fetters Auto Parts_20190115_1.csv,15/01/2019,Scott,1628,electronic
abcd,FORMAZ PARTS PLUS_20190625_1.csv,25/06/2019,Dylan,18,electronic
abcd,FORMAZ PARTS PLUS_20190628_2.csv,28/06/2019,Dylan,18,electronic
abcd,Freds Auto Wreckers_20190502_1.csv,02/05/2019,Scott,1543,electronic
abcd,Fremantle Wreckers_20190412_1.csv,12/04/2019,Chris,344,electronic
abcd,Gangemi Asian Connections_20190211_1.csv,11/02/2019,Scott,1523,electronic
abcd,GDM Wrecking_20190110_1.csv,10/01/2019,Scott,1020,electronic
abcd,General Jap Spares_20190806_1.csv,06/08/2019,Dylan,1059,electronic
abcd,German Auto Parts_20190510_1.csv,10/05/2019,Scott,1513,electronic
abcd,Get Wrecked 4x4_20190317_1.csv,17/03/2019,Scott,300,electronic
abcd,Get Wrecked 4x4_20190317_2.csv,17/03/2019,Scott,300,electronic
abcd,Glenns 4x4 Wrecking_20190722_1.csv,22/07/2019,Dylan,375,electronic
abcd,GMS Spares_20190114_1.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_2.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_3.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_4.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_5.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_6.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_7.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190114_8.csv,14/01/2019,Dylan,33,electronic
abcd,GMS Spares_20190517_9.csv,17/05/2019,Dylan,33,electronic
abcd,GOULBURN CAR SALES and AUTO WRECKERS_20190415_1.csv,15/04/2019,Dylan,80,electronic
abcd,Grand Auto Wreckers_20190520_1.csv,20/05/2019,Chris,220,electronic
abcd,Grants Auto Dismantlers_20190613_1.csv,13/06/2019,Scott,298,electronic
abcd,Greenacre Spare Parts_20190712_1.csv,12/07/2019,Dylan,1102,electronic
abcd,Hillside Auto Dismantlers_20190110_1.csv,10/01/2019,Dylan,524,electronic
abcd,Holmwood and Cowra Wreckers_20190415_1.csv,15/04/2019,Dylan,29,electronic
abcd,Honbits_20190523_1.csv,23/05/2019,Dylan,36,electronic
abcd,Hondworld Pty Ltd_20190322_1.csv,22/03/2019,Scott,305,electronic
abcd,Horizon Automotive_20190313_1.csv,13/03/2019,Chris,1286,electronic
abcd,J. W. Fairalls Auto Dismantlers_20190503_1.csv,03/05/2019,Dylan,1295,electronic
abcd,Japco Auto Wholesalers_20190708_1.csv,08/07/2019,Chris,1118,electronic
abcd,Japwreck_20190214_1.csv,14/02/2019,Scott,362,electronic
abcd,JCS Parts_20190418_1.csv,18/04/2019,Chris,712,electronic
abcd,JCS Parts_20190418_2.csv,18/04/2019,Chris,712,electronic
abcd,JCS Parts_20190418_3.csv,18/04/2019,Chris,712,electronic
abcd,JCS Parts_20190418_4.csv,18/04/2019,Chris,712,electronic
abcd,JMR Autos_20190624_1.csv,24/06/2019,Chris,1307,manual
abcd,Just Japanese Auto Recyclers_20190524_1.csv,24/05/2019,Scott,754,electronic
abcd,Just Little Car Spares_20190712_1.csv,12/07/2019,Chris,721,electronic
abcd,Kempsey Spares_20190725_1.csv,25/07/2019,Dylan,1076,electronic
abcd,Keyline Auto Parts_20190530_1.csv,30/05/2019,Chris,369,electronic
abcd,King Wreck Australia_20190418_1.csv,18/04/2019,Dylan,1542,electronic
abcd,King Wreck Australia_20190503_2.csv,03/05/2019,Dylan,1542,electronic
abcd,Landsdale Motor Wreckers_20190510_1.csv,10/05/2019,Chris,968,electronic
abcd,Landsdale Motor Wreckers_20190516_2.csv,16/05/2019,Chris,968,electronic
abcd,Landsdale Motor Wreckers_20190701_3.csv,01/07/2019,Chris,968,electronic
abcd,Logues Auto Wreckers_20190411_1.csv,11/04/2019,Scott,252,electronic
abcd,M and I Spares_20190418_1.csv,18/04/2019,Dylan,1024,manual
abcd,M and R Spare Parts_20190114_1.csv,14/01/2019,Dylan,1094,electronic
abcd,Macarthur Auto Parts_20190510_1.csv,10/05/2019,Dylan,1031,electronic
abcd,Machinery Drive Wreckers_20190618_1.csv,18/06/2019,Scott,1017,electronic
abcd,Machinery Drive Wreckers_20190618_2.csv,18/06/2019,Scott,1017,electronic
abcd,Macleay Auto Spares and Accessories_20190807_1.csv,07/08/2019,Dylan,86,electronic
abcd,Macwreck Auto Wreckers_20190716_1.csv,16/07/2019,Scott,777,electronic
abcd,Max Metals_20190701_1.csv,01/07/2019,Chris,355,electronic
abcd,Maz Motor Wreckers_20190620_1.csv,20/06/2019,Scott,883,electronic
abcd,Maz Motor Wreckers_20190704_2.csv,04/07/2019,Scott,883,electronic
abcd,Mazparts W.A._20190524_1.csv,24/05/2019,Chris,965,electronic
abcd,Melbourne Metal Recyclers_20190802_1.csv,02/08/2019,Scott,313,electronic
abcd,Milperra Spares_20190114_1.csv,14/01/2019,Dylan,1047,electronic
abcd,Milperra Spares_20190418_2.csv,18/04/2019,Dylan,1047,electronic
abcd,Mitsi-Bits_20190503_1.csv,03/05/2019,Chris,694,electronic
abcd,Murwillumbah Motor Wreckers_20190618_1.csv,18/06/2019,Scott,34,electronic
abcd,Murwillumbah Motor Wreckers_20190618_2.csv,18/06/2019,Scott,34,electronic
abcd,Narellan Auto Parts Plus_20190726_1.csv,26/07/2019,Dylan,1040,electronic
abcd,National Auto Dismantlers_20190510_1.csv,10/05/2019,Dylan,1019,electronic
abcd,Niss4x4 Autospares_20190517_1.csv,17/05/2019,Scott,1356,electronic
abcd,North Coast Auto Wreckers_20190403_1.csv,03/04/2019,Dylan,657,electronic
abcd,Northern Pick A Part_20190624_1.csv,24/06/2019,Dylan,728,electronic
abcd,NQ Crash and 4WD Spares_20190327_1.csv,27/03/2019,Chris,1365,electronic
abcd,On Boost Auto Parts_20190114_1.csv,14/01/2019,Dylan,1099,electronic
abcd,Overland 4x4 Wreckers_20190524_1.csv,24/05/2019,Scott,1374,electronic
abcd,Pacific Highway Auto Recyclers_20190424_1.csv,24/04/2019,Dylan,140,electronic
abcd,Paradise Auto Parts_20190718_1.csv,18/07/2019,Chris,207,electronic
abcd,Park Ridge Wreckers_20190502_1.csv,02/05/2019,Scott,1325,electronic
abcd,Parkes Auto Wreckers_20190327_1.csv,27/03/2019,Dylan,44,electronic
abcd,Partington 4WD Wreckers_20190213_1.csv,13/02/2019,Dylan,660,electronic
abcd,Partington 4WD Wreckers_20190408_2.csv,08/04/2019,Chris,660,electronic
abcd,Parts Heaven_20190715_1.csv,15/07/2019,Scott,1492,electronic
abcd,PeninsulaBM_20181207_1.csv,07/12/2018,Dylan,1625,electronic
abcd,PeninsulaBM_20190701_2.csv,01/07/2019,Dylan,1625,electronic
abcd,Penrith Auto Wreckers Pty Ltd_20190516_1.csv,16/05/2019,Dylan,508,electronic
abcd,Perth 4WD Centre_20190114_2.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_3.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_4.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_5.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_6.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_7.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190114_8.csv,14/01/2019,Chris,1380,electronic
abcd,Perth 4WD Centre_20190314_1.csv,14/01/2019,Chris,1380,electronic
abcd,Perth A1_20190701_1.csv,01/07/2019,Chris,1381,electronic
abcd,Perth Parts Solutions_20190527_1.csv,27/05/2019,Chris,357,electronic
abcd,Pick N Payless Auto Parts_20190701_1.csv,01/07/2019,Dylan,37,electronic
abcd,Pickles_20190510_1.csv,10/05/2019,Scott,1579,electronic
abcd,Poly 4x4_20190331_1.csv,01/04/2019,Scott,869,manual
abcd,Port Stephens Auto Wreckers_20190322_1.csv,22/03/2019,Dylan,47,electronic
abcd,Q1 Auto Parts_20190423_1.csv,23/04/2019,Dylan,1474,manual
abcd,Rathmines Auto Dismantlers_20190530_1.csv,30/05/2019,Dylan,95,electronic
abcd,River Murray Auto Wreckers Pty Ltd_20190318_1.csv,18/03/2019,Chris,212,electronic
abcd,Road Tested Spares_20190114_1.csv,14/01/2019,Dylan,45,electronic
abcd,SAAB SALVAGE_20190603_1.csv,03/06/2019,Dylan,97,electronic
abcd,Salisury Auto Dismantlers_20190716_1.csv,16/07/2019,Chris,687,electronic
abcd,Sandgate Wreckers_20190404_1.csv,04/04/2019,Scott,127,electronic
abcd,Sandgate Wreckers_20190423_2.csv,23/04/2019,Scott,127,manual
abcd,Scotts Parts Plus_20190603_1.csv,03/06/2019,Dylan,39,electronic
abcd,Sells Auto Parts_20190408_1.csv,08/04/2019,Scott,1408,manual
abcd,SGS Parts Plus - kurri kurri_20190503_1.csv,03/05/2019,Dylan,1520,electronic
abcd,SGS Parts Plus - kurri kurri_20190704_2.csv,04/07/2019,Dylan,1520,electronic
abcd,SGS Parts Plus - thornleigh_20190704_1.csv,04/07/2019,Dylan,1037,electronic
abcd,Shepparton Auto Wreckers_20190530_1.csv,30/05/2019,Scott,1410,electronic
abcd,Shepparton Auto Wreckers_20190719_2.csv,12/07/2019,Scott,1410,electronic
abcd,Shepparton Auto Wreckers_20190712_3.csv,19/07/2019,Scott,1410,electronic
abcd,Singleton Auto Wreckers_20190412_1.csv,12/04/2019,Dylan,386,electronic
abcd,Slims Auto Wreckers_20190712_1.csv,12/07/2019,Chris,977,manual
abcd,South West 4WD Wreckers_20190415_1.csv,15/04/2019,Scott,148,electronic
abcd,Southport Auto Recyclers_20190705_1.csv,05/07/2019,Scott,167,electronic
abcd,Southside 4x4 Parts Wrecking_20190517_1.csv,17/05/2019,Scott,125,electronic
abcd,Southside 4x4 Parts Wrecking_20190517_2.csv,17/05/2019,Scott,125,electronic
abcd,Suba Bits_20190423_1.csv,23/04/2019,Scott,335,electronic
abcd,Subareck_20190107_1.csv,07/01/2019,Chris,1107,electronic
abcd,Sun City Wreckers_20190709_1.csv,09/07/2019,Chris,1427,electronic
abcd,Sunshine Wreckers_20190716_1.csv,16/07/2019,Scott,1531,electronic
abcd,Swan Auto Recyclers_20190403_1.csv,03/04/2019,Chris,346,electronic
abcd,Tonys Auto Wreckers_20190114_1.csv,14/01/2019,Chris,356,electronic
abcd,Townsville Car Wreckers_20190213_1.csv,13/02/2019,Dylan,1627,electronic
abcd,Toyospares_20190530_1.csv,30/05/2019,Scott,340,electronic
abcd,Toyrolla Spares_20190510_1.csv,10/05/2019,Scott,292,electronic
abcd,Ultimate Jap Spares_20190114_1.csv,14/01/2019,Dylan,107,electronic
abcd,Underwood Wrecking_20181116_1.csv,16/11/2018,Scott,581,electronic
abcd,Underwood Wrecking_20190331_2.csv,01/04/2019,Scott,581,manual
abcd,U-Pick Car Wreckers_20190314_1.csv,14/03/2019,Scott,1089,electronic
abcd,Wagga Car Wreckers_20190517_1.csv,17/05/2019,Dylan,500,electronic
abcd,Wanneroo 4 x 4 Dismantlers_20190516_1.csv,16/05/2019,Chris,1462,electronic
abcd,Warragul Motor Wreckers_20190502_1.csv,02/05/2019,Scott,269,electronic
abcd,Westcoast Auto Wreckers_20190712_1.csv,12/07/2019,Chris,1049,electronic
abcd,Westwide Auto Recyclers_20190412_1.csv,12/04/2019,Chris,352,electronic
abcd,Wollongong Auto Parts_20190723_1.csv,14/03/2019,Dylan,16,electronic
abcd,Woodville Auto Wreckers_20190314_1.csv,14/03/2019,Scott,1035,electronic
abcd,Wrek King_20190327_3.csv,27/03/2019,Chris,1042,manual
abcd,Wrek King_20190328_2.csv,28/03/2019,Chris,1042,electronic
abcd,Wrek King_20190428_1.csv,28/03/2019,Chris,1042,electronic
abcd,Wright Auto Wrecking_20190712_1.csv,12/07/2019,Chris,962,manual
abcd,Parramatta Prestige Auto_20190812_1.csv,12/08/2019,Dylan,50,electronic
abcd,Anzac Avenue Wreckers_20190812_2.csv,12/08/2019,Chris,153,electronic
abcd,Bellingen Valley Motors and Auto Dismantlers_20190812_1.csv,12/08/2019,Dylan,485,electronic
abcd,Auto Parts Centre_20190812_1.csv,12/08/2019,Dylan,1038,electronic
abcd,Cooroy Auto Wreckers_20190813_3.csv,13/08/2019,Chris,154,electronic
abcd,Sunshine Coast 4WD Wreckers_20190809_1.csv,09/08/2019,Chris,1470,electronic
abcd,Sadaqat auto parts_20190806_1.csv,06/08/2019,Dylan,1635,electronic
abcd,BBT Jap Parts_20190808_4.csv,08/08/2019,Dylan,46,electronic
abcd,Danny Scrap Metal_20190807_2.csv,07/08/2019,Scott,1611,electronic
abcd,NQ Truck Wreckers_20190815_1.csv,15/08/2019,Chris,670,electronic
abcd,Armidale City Motor Wreckers_20190819_1.csv,19/08/2019,Dylan,75,electronic
abcd,Luckys Scrap Metal_20190819_1.csv,19/08/2019,Dylan,1537,electronic
abcd,Caloundra Wreckers_20190820_1.csv,20/08/2019,Chris,1211,electronic
abcd,Caloundra Wreckers_20190820_2.csv,20/08/2019,Chris,1211,electronic
abcd,Just Japanese Auto Recyclers_20190820_2.csv,20/08/2019,Dylan,754,electronic
abcd,NQ Crash and 4WD Spares_20190820_2.csv,20/08/2019,Chris,1365,electronic
abcd,Pickles_20190821_2.csv,21/08/2019,Dylan,1551,electronic
abcd,Sydney Auto Dismantlers_20190820_1.csv,20/08/2019,Dylan,100,electronic
abcd,S Twins Spares_20190830_1.csv,30/08/2019,Dylan,1636,electronic
abcd,A W A Wrecker.csv,09/09/2019,Chris,1483,manual
abcd,All commercial Wreckers.csv,09/09/2019,Chris,1158,manual
abcd,Babylon Wreckers.csv,11/09/2019,Chris,1608,manual
abcd,Boulder Parts and Towing.csv,09/09/2019,Chris,1007,electronic
abcd,Swan Auto.csv,09/09/2019,Chris,346,manual
abcd,Universal Wreckers.csv,10/09/2019,Chris,1450,manual
abcd,W A Auto Wrecker.csv,09/09/2019,Chris,1488,manual
abcd,WOODVILLE-HONDA.csv,09/09/2019,Chris,1035,electronic
abcd,iandm.csv,30/09/2019,Dylan,68,electronic
abcd,complete1.csv,30/09/2019,Dylan,1620,electronic
abcd,complete2.csv,30/09/2019,Dylan,1620,electronic
abcd,complete3.csv,30/09/2019,Dylan,1620,electronic
abcd,AIRR BAG JJ AUTO PARTS LANSVALE.csv,30/09/2019,Dylan,35,electronic
abcd,MERREDIN PANELAND PAINT.csv,16/09/2019,Chris,1637,manual
abcd,WA WARREN.csv,16/09/2019,Chris,1465,manual
abcd,WA One stop Auto.csv,16/09/2019,Chris,1619,manual
abcd,partington_4wd_unwashed.csv,06/09/2019,Chris,660,electronic
abcd,ALL TERRAIN SPARES VINS.csv,15/10/2019,Chris,1638,manual
abcd,Bathurst Auto Parts.csv,15/10/2019,Dylan,23,manual
abcd,bbt jap parts-15-10-19.csv,15/10/2019,Dylan,46,electronic
abcd,Cairns car wreckers.csv,15/10/2019,Chris,668,manual
abcd,cardiff auto wreckers-15-10-19.csv,15/10/2019,Dylan,63,manual
abcd,CityParts Zilmere QLD MVR.csv,21/10/2019,Chris,131,electronic
abcd,Mitsiwreck.csv,15/10/2019,Chris,697,manual
abcd,NARRANDERAWRECKERS2019EXCELL.csv,01/10/2019,Dylan,1071,electronic
abcd,pickles vic.csv,15/10/2019,Dylan,1551,electronic
abcd,Sumo Jap Spares.csv,15/10/2019,Dylan,99,manual
abcd,pickles adelaide.csv,21/10/2019,Chris,1640,electronic
abcd,Pickles Milperra.csv,11/10/2019,Dylan,1639,electronic
abcd,Pickles Milperra 28.10.2019.csv,11/10/2019,Dylan,1639,electronic
abd,pickles Milperra 28.10.2019a.csv,28/10/2019,Dylan,1639,electronic
abcd,pickles canberra.csv,24/10/2019,Dylan,1641,electronic
abd,PARADISE MERCEDES Final.csv,25/10/2019,Chris,207,electronic
abd,pickles vic 29.10.18.csv,29/10/2019,Dylan,1551,electronic
